"","tractid","mhmval00","mhmval12","hinc00","hu00","vac00","own00","rent00","h30old00","empclf00","clf00","unemp00","prof00","dpov00","npov00","ag25up00","hs00","col00","pop00.x","nhwht00","nhblk00","hisp00","asian00","cbsa","cbsaname","mar00","ag15up00","ag18cv00","wds00","p.white","p.black","p.hisp","p.asian","p.hs","p.col","p.prof","p.unemp","p.vacant","pov.rate","p.mar","mhv.00","mhv.10","mhv.change","mhv.growth"
"38","6073002708",104600,155400,17171,2145,50,81,2014,763,2083,2418,335,195,7059,3431,3284,2590,122,7093,589,1310,3432,1668,"41740","San Diego-Carlsbad-San Marcos, CA",1998,4707,4280,857,8.30396165233329,18.4689130128295,48.3857324122374,23.5161426758776,82.5822168087698,3.71498172959805,9.36149783965434,13.8544251447477,2.33100233100233,48.6046182178779,42.4474187380497,134782.33,155400,20617.67,15.2970125980164
"39","6073002709",123900,308500,25640,1190,64,298,828,753,1167,1329,162,167,4183,1894,1950,1411,138,4212,508,1024,2013,591,"41740","San Diego-Carlsbad-San Marcos, CA",956,2720,2457,522,12.0607787274454,24.3114909781576,47.7920227920228,14.031339031339,79.4358974358974,7.07692307692308,14.3101970865467,12.1896162528217,5.3781512605042,45.2785082476691,35.1470588235294,159651.345,308500,148848.655,93.2335740735538
"40","6073002710",138800,296600,23148,1127,51,318,758,708,1094,1300,206,183,4166,1673,1995,1403,73,4174,452,1166,1379,1141,"41740","San Diego-Carlsbad-San Marcos, CA",1226,2873,2511,466,10.8289410637278,27.9348346909439,33.0378533780546,27.3358888356493,73.984962406015,3.65914786967419,16.72760511883,15.8461538461538,4.52528837622005,40.1584253480557,42.6731639401323,178850.74,296600,117749.26,65.8366076651402
"41","6073002711",121500.0008,257600,29312.99954,1112.09729,26.88586998,549.9382324,535.2731934,510.8315125,1015.552612,1084.804077,69.2514801,259.0820007,3270.706739,575.6020508,1852.680786,907.194397,195.5335999,3297.99997,832.6472168,1121.466675,881.123291,415.101532,"41740","San Diego-Carlsbad-San Marcos, CA",1270.153687,2320.739258,1951.262329,412.6573486,25.2470353054612,34.0044477016778,26.7168980902083,12.58646257659,59.5206689265034,10.5540901259177,25.5114306869608,6.38377763950826,2.4175825462177,17.5987056233598,54.7305640916598,156558.82603084,257600,101041.17396916,64.5387912842782
"42","6073002712",121500.0026,266500,29313.0011,1617.902588,39.11412811,800.0617065,778.7267456,743.168457,1477.447266,1578.195801,100.7485123,376.9179688,4758.293021,837.3979492,2695.319092,1319.805542,284.4664001,4797.999788,1211.352661,1631.533325,1281.876709,603.8984375,"41740","San Diego-Carlsbad-San Marcos, CA",1847.846313,3376.260498,2838.737549,600.3425903,25.2470344836122,34.0044476258739,26.7168979916595,12.5864623631367,59.5206685123722,10.5540899014268,25.5114329610191,6.38377774393787,2.41758239340921,17.5987049453296,54.730561048077,156558.82835023,266500,109941.17164977,70.2235529023161
"43","6073002801",270600,591900,24632,1080,21,425,634,697,1544,2319,775,540,2483,1072,1039,181,595,3776,2690,177,553,304,"41740","San Diego-Carlsbad-San Marcos, CA",1465,3614,3591,290,71.239406779661,4.6875,14.6451271186441,8.05084745762712,74.6871992300289,57.2666025024062,34.9740932642487,33.4195774040535,1.94444444444444,43.1735803463552,40.5368013281682,348681.63,591900,243218.37,69.7537091357523
"44","6073002803",179900,351800,28803,2556,82,857,1617,1474,2628,2835,207,1049,5448,1089,3550,1249,1255,5448,2812,658,1115,764,"41740","San Diego-Carlsbad-San Marcos, CA",1585,4681,4410,887,51.6152716593245,12.0778267254038,20.4662261380323,14.0234948604993,70.5352112676056,35.3521126760563,39.9162861491629,7.3015873015873,3.20813771517997,19.988986784141,33.8602862636189,231810.145,351800,119989.855,51.7621241296407
"45","6073002804",218900,451200,44683,1529,41,957,531,1383,2138,2599,461,830,3806,964,2458,671,1036,4477,3242,197,567,373,"41740","San Diego-Carlsbad-San Marcos, CA",1676,4009,3857,445,72.4145633236542,4.40026803663167,12.664730846549,8.3314719678356,69.446704637917,42.1480878763222,38.821328344247,17.7375913813005,2.6814911706998,25.3284287966369,41.8059366425543,282063.595,451200,169136.405,59.9639258657254
"46","6073002902",197596.2057,380200,37944.74065,2382.678021,77.95214811,1116.438236,1188.287729,1818.00346,2731.495264,2863.431548,131.936391,1082.399226,5188.179108,682.612927,3440.156769,972.5132851,1156.312392,5216.158414,3201.361428,480.6926825,989.42814,373.7834809,"41740","San Diego-Carlsbad-San Marcos, CA",1772.094499,4409.573558,4237.657263,889.5260602,61.3739302741966,9.21545406308667,18.9685216872326,7.16587670912711,61.8816472633838,33.6122005374808,39.6266191732266,4.60763209416173,3.27161905313937,13.1570809871894,40.1874348095408,254612.590854735,380200,125587.409145265,49.3249013034539
"47","6073002903",158700,318100,41068,1404,20,957,427,1294,1766,1897,131,620,3682,365,2451,1104,511,3711,1929,327,1021,375,"41740","San Diego-Carlsbad-San Marcos, CA",1404,2920,2754,683,51.9805982215036,8.81164106709782,27.5127997844247,10.1050929668553,65.8914728682171,20.8486332109343,35.1075877689694,6.90564048497628,1.42450142450142,9.9130907115698,48.0821917808219,204492.885,318100,113607.115,55.5555343649242
